Anyo,Mes,fecha,fecha-refinada,Viviendas
2008,Ene,2008-01-01T00:00:00Z,2008/01/01,50337
2008,Feb,2008-02-01T00:00:00Z,2008/02/01,52401
2008,Mar,2008-03-01T00:00:00Z,2008/03/01,62960
2008,Abr,2008-04-01T00:00:00Z,2008/04/01,45681
2008,May,2008-05-01T00:00:00Z,2008/05/01,58400
2008,Jun,2008-06-01T00:00:00Z,2008/06/01,63968
2008,Jul,2008-07-01T00:00:00Z,2008/07/01,54695
2008,Ago,2008-08-01T00:00:00Z,2008/08/01,38453
2008,Sep,2008-09-01T00:00:00Z,2008/09/01,47234
2008,Oct,2008-10-01T00:00:00Z,2008/10/01,35187
2008,Nov,2008-11-01T00:00:00Z,2008/11/01,27224
2008,Dic,2008-12-01T00:00:00Z,2008/12/01,27091
2009,Ene,2009-01-01T00:00:00Z,2009/01/01,33887
2009,Feb,2009-02-01T00:00:00Z,2009/02/01,31949
2009,Mar,2009-03-01T00:00:00Z,2009/03/01,37139
2009,Abr,2009-04-01T00:00:00Z,2009/04/01,31605
2009,May,2009-05-01T00:00:00Z,2009/05/01,32945
2009,Jun,2009-06-01T00:00:00Z,2009/06/01,31923
2009,Jul,2009-07-01T00:00:00Z,2009/07/01,38323
2009,Ago,2009-08-01T00:00:00Z,2009/08/01,22534
2009,Sep,2009-09-01T00:00:00Z,2009/09/01,22667
2009,Oct,2009-10-01T00:00:00Z,2009/10/01,28472
2009,Nov,2009-11-01T00:00:00Z,2009/11/01,24095
2009,Dic,2009-12-01T00:00:00Z,2009/12/01,21016
2010,Ene,2010-01-01T00:00:00Z,2010/01/01,22857
2010,Feb,2010-02-01T00:00:00Z,2010/02/01,23404
2010,Mar,2010-03-01T00:00:00Z,2010/03/01,17568
2010,Abr,2010-04-01T00:00:00Z,2010/04/01,24950
2010,May,2010-05-01T00:00:00Z,2010/05/01,20894
2010,Jun,2010-06-01T00:00:00Z,2010/06/01,20385
2010,Jul,2010-07-01T00:00:00Z,2010/07/01,21103
2010,Ago,2010-08-01T00:00:00Z,2010/08/01,9405
2010,Sep,2010-09-01T00:00:00Z,2010/09/01,11998
2010,Oct,2010-10-01T00:00:00Z,2010/10/01,16981
2010,Nov,2010-11-01T00:00:00Z,2010/11/01,13923
2010,Dic,2010-12-01T00:00:00Z,2010/12/01,15104
2011,Ene,2011-01-01T00:00:00Z,2011/01/01,9925
2011,Feb,2011-02-01T00:00:00Z,2011/02/01,8912
2011,Mar,2011-03-01T00:00:00Z,2011/03/01,11802
